AVG,OBP,SLG,OPS,BB%,K%,ISO,LD%,Pull%,EV,LA,Barrel%,HardHit%,maxEV,Contact%,HR,R,RBI
0.276,0.318903318,0.494539781,0.813443099,0.057636887,0.174351585,0.218408736,0.184410646,0.37807183,90.71849702,15.66242001,0.11531191,0.4536862,113.848,0.7907489,30,97,96
0.276,0.348404255,0.47761194,0.826016195,0.095617529,0.146082337,0.201492538,0.196460176,0.49380531,88.37411348,19.0643856,0.06537102,0.36749117,108.605,0.83371298,29,122,100
0.276,0.318518518,0.466,0.784518518,0.059149722,0.188539741,0.19,0.208436724,0.39259259,89.72503524,10.46248923,0.0962963,0.42716049,110.72,0.77609108,21,62,84
0.276,0.345047923,0.455197132,0.800245055,0.081469648,0.175718849,0.179211469,0.229074889,0.40969163,89.45320244,16.45367459,0.05726872,0.38986784,108.227,0.84346378,23,86,96
0.276,0.358461538,0.485061511,0.843523049,0.109230769,0.167692307,0.20913884,0.189655172,0.44086022,91.0540561,10.69686679,0.07956989,0.42795699,117.061,0.81205674,25,94,82
0.276,0.324022346,0.442190669,0.766213015,0.066914498,0.180297397,0.166328601,0.21,0.4044665,89.5752565,15.41887066,0.08933002,0.42679901,107.581,0.79643527,17,63,73
0.276,0.34163701,0.478174603,0.819811613,0.072953736,0.211743772,0.202380953,0.197435897,0.39230769,90.28013536,13.09099228,0.11282051,0.46666667,110.419,0.76651163,22,75,84
0.275,0.333333333,0.48470948,0.818042813,0.06582633,0.245098039,0.209480123,0.185031185,0.41995842,92.66748861,8.505377197,0.11850312,0.51975052,116.662,0.73150888,32,102,103
0.275,0.325088339,0.444230769,0.769319108,0.067137809,0.249116607,0.169230769,0.169270833,0.40625,89.41771377,10.44783847,0.08854167,0.40104167,111.012,0.73529412,16,76,67
0.275,0.321156773,0.400981996,0.722138769,0.05783866,0.197869101,0.126022913,0.202479338,0.41942149,89.35723625,9.379371328,0.05371901,0.41735537,110.781,0.78612717,13,71,89
0.275,0.410183875,0.519366197,0.929550072,0.186440677,0.182203389,0.24471831,0.165532879,0.38876404,93.22318004,6.6579551,0.13033708,0.55280899,115.267,0.82301741,35,97,109
0.274,0.338526912,0.479623824,0.818150736,0.082152974,0.164305949,0.205329154,0.173003802,0.39543726,92.80795645,4.253357635,0.1121673,0.50380228,118.382,0.78001549,32,90,97
0.274,0.327332242,0.437275985,0.764608227,0.06873977,0.153846153,0.163082437,0.238297872,0.30212766,89.38555519,11.11045753,0.05744681,0.41702128,109.288,0.84416741,20,74,97
0.274,0.367164179,0.43275862,0.799922799,0.105497771,0.172362555,0.158620689,0.177105831,0.3212766,89.39175197,6.124197672,0.07021277,0.39787234,111.935,0.8261944,16,102,64
