AVG,OBP,SLG,OPS,R,HR,RBI,O-S%,Z-S%,S%,O-C%,Z-C%,C%,BB%,K%,ISO,BABIP,EV,LA,Barrel%,maxEV,HardHit%,xBA,xSLG,xwOBA
0.244,0.328,0.416,0.744,81,22,80,0.237,0.692,0.473,0.517,0.797,0.730,0.103,0.241,0.172,0.297,89.30521973844282,12.961,0.109,109.067,0.395,0.255,0.458,0.345
0.240,0.330,0.424,0.755,66,17,54,0.199,0.633,0.434,0.531,0.781,0.728,0.107,0.284,0.185,0.319,93.459,18.482488394474636,0.171,114.276,0.561,0.23,0.457,0.337
0.254,0.364,0.425,0.789,95,23,83,0.265,0.608,0.430,0.573,0.796,0.725,0.122,0.239,0.171,0.310,91.73948165931989,11.281154065648614,0.123,114.258,0.480,0.243,0.435,0.351
0.255,0.305,0.450,0.755,64,21,74,0.441,0.724,0.573,0.617,0.793,0.721,0.066,0.236,0.195,0.300,88.625,14.498979669992996,0.095,110.351,0.351,0.254,0.436,0.317
0.212,0.333,0.475,0.808,95,36,105,0.235,0.568,0.392,0.521,0.811,0.719,0.147,0.264,0.263,0.221,91.15896332335329,21.718903043376866,0.146,111.067,0.460,0.235,0.504,0.364
0.266,0.320,0.459,0.778,102,26,76,0.353,0.727,0.531,0.481,0.845,0.718,0.065,0.217,0.192,0.310,89.859,13.008322704081632,0.084,110.805,0.422,0.266,0.447,0.33
0.224,0.339,0.454,0.793,63,26,74,0.177,0.584,0.389,0.387,0.811,0.718,0.140,0.322,0.230,0.290,90.46058621852518,22.35855300134892,0.157,114.745,0.434,0.218,0.461,0.346
0.262,0.306,0.497,0.803,61,26,83,0.344,0.686,0.515,0.488,0.834,0.718,0.048,0.260,0.235,0.308,89.88587535511364,11.793,0.110,112.451,0.463,0.252,0.44,0.318
0.232,0.306,0.456,0.762,78,30,75,0.302,0.706,0.497,0.516,0.810,0.718,0.095,0.278,0.224,0.273,89.53424845950704,20.335112235915492,0.126,113.672,0.407,0.233,0.466,0.33
0.255,0.292,0.422,0.714,59,23,80,0.470,0.759,0.602,0.567,0.825,0.715,0.033,0.233,0.167,0.294,90.087,15.588190739329269,0.087,113.102,0.436,0.266,0.46,0.325
0.257,0.322,0.449,0.770,91,25,78,0.324,0.777,0.542,0.531,0.797,0.714,0.083,0.222,0.191,0.299,91.85661553899082,10.966682905463387,0.110,113.380,0.489,0.281,0.508,0.364
0.217,0.310,0.407,0.717,73,24,80,0.330,0.697,0.500,0.504,0.829,0.714,0.111,0.259,0.190,0.259,87.35124524111676,18.170006146890863,0.124,109.842,0.361,0.24,0.436,0.335
0.304,0.412,0.654,1.066,102,44,95,0.300,0.687,0.483,0.499,0.815,0.711,0.152,0.239,0.350,0.342,94.39937017205057,13.187424563290028,0.193,118.586,0.533,0.295,0.638,0.427
0.253,0.287,0.408,0.695,79,15,73,0.427,0.780,0.594,0.504,0.828,0.705,0.041,0.270,0.155,0.328,88.03472326807228,12.62257624246988,0.081,109.778,0.357,0.248,0.386,0.291
0.232,0.323,0.391,0.714,68,22,96,0.224,0.647,0.445,0.413,0.795,0.704,0.101,0.308,0.159,0.314,90.28490901898734,18.868527492088607,0.127,111.069,0.430,0.223,0.419,0.324
0.245,0.328,0.508,0.836,108,39,107,0.304,0.695,0.486,0.533,0.787,0.702,0.103,0.277,0.263,0.280,92.09438754857513,15.718674101360104,0.161,115.066,0.497,0.25,0.526,0.366
0.197,0.343,0.474,0.817,108,47,104,0.226,0.533,0.376,0.504,0.789,0.701,0.175,0.299,0.277,0.209,92.36558089717742,18.989235498571908,0.164,115.222,0.485,0.22,0.485,0.364
0.240,0.322,0.431,0.753,80,23,70,0.270,0.654,0.473,0.513,0.768,0.699,0.108,0.316,0.191,0.326,90.75690686103351,9.653754719142807,0.114,113.225,0.442,0.245,0.445,0.335
0.222,0.267,0.325,0.593,58,9,59,0.432,0.678,0.547,0.519,0.821,0.693,0.044,0.229,0.104,0.274,88.03329951298701,9.341233766233767,0.051,113.062,0.388,0.234,0.355,0.279
0.293,0.401,0.499,0.900,84,21,72,0.338,0.751,0.511,0.479,0.818,0.687,0.147,0.218,0.206,0.352,91.81593100890208,9.148917812268175,0.152,115.739,0.468,0.29,0.53,0.399
0.264,0.315,0.542,0.857,90,38,80,0.387,0.783,0.583,0.439,0.813,0.687,0.050,0.289,0.278,0.314,89.07158333333334,16.104,0.152,113.648,0.417,0.259,0.515,0.347
0.235,0.316,0.398,0.713,65,16,56,0.277,0.679,0.478,0.503,0.761,0.686,0.103,0.282,0.163,0.311,93.22033591621253,16.91413434519755,0.114,113.168,0.496,0.235,0.432,0.325
0.248,0.325,0.413,0.738,61,18,69,0.259,0.786,0.531,0.384,0.776,0.683,0.095,0.278,0.165,0.320,91.07761625187126,7.775,0.095,111.276,0.443,0.244,0.411,0.323
0.250,0.309,0.518,0.828,71,34,80,0.384,0.695,0.539,0.459,0.803,0.681,0.059,0.276,0.268,0.284,91.87458227962428,12.260234854813945,0.167,118.236,0.493,0.27,0.512,0.359
0.248,0.353,0.437,0.790,86,23,70,0.253,0.661,0.459,0.382,0.777,0.669,0.120,0.319,0.188,0.343,87.855,15.72505107678865,0.111,111.355,0.395,0.228,0.396,0.325
0.258,0.305,0.435,0.741,70,26,93,0.348,0.730,0.537,0.435,0.779,0.666,0.056,0.311,0.178,0.342,91.33012940035799,12.267084017004773,0.138,112.596,0.494,0.258,0.476,0.336
0.272,0.311,0.476,0.788,79,29,106,0.394,0.748,0.562,0.409,0.813,0.665,0.054,0.276,0.204,0.337,88.93517026345292,14.360751164868274,0.103,111.207,0.430,0.258,0.443,0.32
